RankDifference,Bookmakers,EloDifference,SurfaceIndex,Winner
-31,1.4322087842138767,-127.46354744234418,0.0,P1
-18,0.6982222222222222,90.69339389318975,1.0,P1
-116,0.8635,129.88304076017698,0.0,P2
-33,0.36742857142857144,308.1268859866018,1.0,P1
-88,0.7938095238095237,113.16391628736187,0.0,P1
-17,0.8635,20.660023062361688,1.0,P2
-100,0.2286,301.8064422923974,1.0,P1
-19,0.8635,-45.67837174368606,1.0,P2
-4,1.0605555555555555,27.899438512640018,1.0,P1
-41,0.36742857142857144,260.27986320664354,inf,P1
-236,0.41015384615384615,170.47925789685655,1.0,P1
-29,0.25933333333333336,231.95413883931883,1.0,P2
-28,1.259748050389922,31.73036079158487,1.0,P1
-3,0.6454736842105263,23.260838607130836,1.0,P2
-23,0.509090909090909,150.94223950082096,1.0,P1
-87,0.6982222222222222,131.94881524911375,1.0,P1
-6,1.5492498369210699,-83.28427911194649,1.0,P1
-184,0.7938095238095237,62.311351274990784,1.0,P2
-58,1.8178670360110805,-138.29512288756655,1.0,P2
-32,0.6,-3.778104948954706,1.0,P2
-7,1.259748050389922,-20.134013735496865,1.0,P2
-33,1.9642857142857144,-120.12799844086908,1.0,P1
-178,0.36742857142857144,16.726652472652404,inf,P1
-29,0.6982222222222222,96.35526165834722,1.0,P1
-70,0.6454736842105263,115.20917444283918,1.0,P1
-146,0.25933333333333336,293.2056836420934,inf,P1
-100,0.27694438033694896,278.47094174544327,1.0,P1
-24,0.3333333333333333,157.64403540881494,1.0,P1
-4,0.5500952380952381,96.30741021399058,1.0,P1
-95,0.3055,275.1955197577804,1.0,P1
-76,0.509090909090909,104.86353537534865,1.0,P1
-90,1.4322087842138767,-15.19170812617449,1.0,P2
-207,0.7938095238095237,126.57903759900728,1.0,P1
-25,1.0,-14.39031852991161,1.0,P1
-144,0.6982222222222222,160.34559950235052,1.0,P2
-33,1.4322087842138767,-165.56149356635433,1.0,P2
-77,0.3333333333333333,159.5912546582199,1.0,P1
-27,0.509090909090909,142.21727915883412,1.0,P2
-72,1.3622291021671828,32.71342048284919,1.0,P2
-140,0.4443333333333333,285.7531665835995,1.0,P2
-11,0.734090909090909,88.71896679692327,1.0,P1
-10,0.509090909090909,57.146544219459656,1.0,P1
-25,0.7938095238095237,36.1415770949111,1.0,P2
-112,0.8635,102.02887994353682,1.0,P1
-27,0.6982222222222222,42.03367157043249,inf,P2
-97,0.8635,73.33663886371664,0.0,P1
-77,0.6982222222222222,167.32069712779844,inf,P1
-10,0.6982222222222222,31.567107337719335,0.0,P2
-74,0.7938095238095237,117.02885689699156,0.625,P2
-110,0.3,308.3694956773445,inf,P1
-6,0.6982222222222222,40.47033917543922,inf,P1
-37,0.8635,-64.93859295369953,inf,P1
-32,0.509090909090909,152.774619396567,inf,P2
-159,0.4738675958188153,102.48109674429406,inf,P2
-39,1.259748050389922,14.795789628436069,1.0,P1
-524,0.16923076923076924,173.41542060589381,inf,P1
-2,1.3622291021671828,-15.646660171497388,inf,P2
-64,0.6,211.9742277904336,inf,P1
-7,1.4322087842138767,-100.64988113124309,1.0,P1
-112,0.509090909090909,293.9369136136909,1.2,P1
-12,0.5500952380952381,24.268391454425,1.5,P1
-102,0.6454736842105263,15.285734901393653,1.0,P1
-415,0.41015384615384615,113.80369598744392,0.5,P1
-9,1.9642857142857144,-10.269027396507227,0.0,P2
-149,0.7938095238095237,75.83041449098687,1.125,P2
-4,0.25933333333333336,279.7985279373752,0.0,P1
-13,0.6454736842105263,131.27222552907938,1.25,P1
-140,0.734090909090909,102.93305929943745,0.8888888888888888,P1
-7,0.5500952380952381,123.71180121157408,0.6666666666666666,P2
-16,0.3055,97.3050828726175,1.3333333333333333,P1
-25,0.5500952380952381,186.80856514085553,1.3333333333333333,P1
-2,0.36742857142857144,198.854458640772,1.0,P1
-8,1.3622291021671828,16.94808349667028,1.0,P2
-34,0.25933333333333336,316.11219783863635,inf,P1
-4,0.3333333333333333,95.80147388418186,inf,P1
-130,1.4322087842138767,-18.183024787618933,0.0,P2
-10,0.25933333333333336,190.9932286311648,1.5,P1
-24,1.0,91.40678383837735,0.0,P2
-101,1.3622291021671828,72.07410838860301,0.5,P1
-37,0.41015384615384615,67.72688400765605,2.0,P1
-66,0.6,71.70430051733047,inf,P2
-14,0.509090909090909,41.72098428652839,inf,P2
-21,0.3333333333333333,214.8140155779704,inf,P2
-119,1.8194444444444446,-4.263493864940301,0.0,P2
-30,0.41015384615384615,261.36421979704846,inf,P1
-92,0.509090909090909,102.33530379210583,inf,P2
-62,0.36742857142857144,215.4162652820005,inf,P1
-29,1.1580775911986103,-65.23912774863425,1.5,P1
-51,0.41015384615384615,212.54153172424503,0.0,P2
-75,0.27694438033694896,287.0664780581892,2.0,P1
-83,0.25933333333333336,268.40763110548255,inf,P1
-86,0.14279999999999998,209.70562774823998,inf,P1
-93,0.3333333333333333,156.61061153435548,1.2,P1
-43,0.5500952380952381,11.0246459263617,inf,P2
-81,0.4546666666666667,110.87057816900415,inf,P1
-43,0.36742857142857144,82.3636987938014,inf,P1
-510,0.5500952380952381,108.72968753913119,1.0,P1
-84,0.6,92.5937278438098,inf,P2
-71,0.3333333333333333,201.52313080903286,inf,P1
-19,0.8635,44.28513421490925,0.0,P1
-100,0.12352941176470589,277.6463590620697,1.125,P1
-184,0.10300000000000001,478.4065137418695,inf,P1
-17,1.0,54.278594316210956,inf,P2
-49,0.6977777777777778,6.747366909063658,inf,P1
-55,0.41015384615384615,83.07247024014328,inf,P1
-77,1.4322087842138767,-70.47324205548102,0.0,P1
-174,0.27694438033694896,169.99904349998747,inf,P1
-64,0.6982222222222222,67.11435583157572,0.9,P2
-89,0.3333333333333333,46.24221098586577,inf,P1
-24,0.6,147.51054832981026,0.0,P2
-12,0.6982222222222222,32.34253342574834,0.75,P2
-362,0.4546666666666667,135.87340038731872,0.75,P1
-295,0.3055,215.23833611941086,1.0,P1
-49,1.6666666666666667,27.156627064951408,0.6666666666666666,P2
-204,0.11666666666666667,400.6371530719655,1.0,P1
-10,1.5492498369210699,-57.58670359649864,1.0,P2
-52,0.27694438033694896,165.45502608877337,inf,P1
-12,0.509090909090909,96.78669856575993,1.2000000000000002,P1
-119,0.509090909090909,36.824155200627274,0.5,P2
-112,0.09272727272727273,392.3860207833525,1.0,P1
-16,0.41015384615384615,100.99232466222725,0.0,P1
-17,1.1580775911986103,32.79002851091559,1.2,P1
-2,2.4381095273818456,-141.20261516461233,0.5,P2
-6,0.9429020429544264,118.7188067716163,0.0,P1
-57,0.25933333333333336,114.27445056811712,1.0,P1
-21,0.4546666666666667,-14.362455365742107,inf,P1
-33,1.0605555555555555,-112.7081910541408,1.3333333333333333,P2
-56,0.27694438033694896,122.18988585247826,0.6,P1
-25,0.3055,129.48257506763161,2.0,P1
-25,1.1580775911986103,-13.379182251867405,1.0,P1
-154,0.10300000000000001,465.4185624211598,1.0,P1
-32,0.16923076923076924,202.06469282548278,1.0,P1
-27,1.259748050389922,-24.94878786566801,1.0,P1
-33,0.20454545454545456,264.30180993779277,1.6,P1
-87,0.6454736842105263,130.06238707636385,1.0,P1
-197,0.3333333333333333,192.4975143247109,1.0,P1
-111,0.25933333333333336,267.5154069108189,2.0,P1
-211,0.12352941176470589,317.7788380946927,inf,P1
-43,0.12352941176470589,304.2912449015696,2.0,P1
-110,0.7938095238095237,140.31931746549844,1.125,P2
-46,0.5500952380952381,84.74293665079745,0.8888888888888888,P1
-37,1.259748050389922,63.41520666655583,1.5,P2
-226,0.8635,3.1455429398668002,1.3333333333333333,P2
-27,0.25933333333333336,149.33999526381285,0.8999999999999999,P1
-34,0.734090909090909,-40.36846519079995,0.8,P1
-92,0.20454545454545456,315.080864938079,1.5,P1
-61,0.3055,187.96480846763393,0.7142857142857143,P1
-132,0.25933333333333336,170.84075714409892,0.5,P1
-4,0.734090909090909,-21.944763889877777,1.0,P1
-20,2.4381095273818456,58.195652399561595,0.5,P2
-26,1.8178670360110805,-65.64373747136187,0.6666666666666666,P1
-87,0.27694438033694896,351.6679603161049,1.5,P1
-30,0.3055,232.8326012339287,1.3333333333333333,P1
-236,0.4546666666666667,182.07384161372397,1.2500000000000002,P2
-24,0.6454736842105263,24.040356424629636,0.8888888888888888,P2
-17,0.3055,168.3086640434758,1.4,P1
-53,0.6982222222222222,29.71373099929565,1.0,P2
-146,0.11666666666666667,399.129305511178,1.4,P1
-64,0.3055,190.4762720246424,1.0,P1
-11,0.27694438033694896,142.5067128029027,1.0,P1
-23,0.5500952380952381,26.08199884194096,1.1111111111111112,P1
-47,1.3622291021671828,38.4106792898574,0.6666666666666666,P2
-16,0.15471428571428572,229.62424256128202,1.0666666666666667,P1
-42,0.27694438033694896,102.099073291482,0.8928571428571428,P2
-9,0.6454736842105263,101.39213781327203,1.0,P1
-240,0.27694438033694896,163.3320505210329,1.3333333333333333,P1
-64,0.36742857142857144,185.73770220298343,1.0,P1
-6,0.25933333333333336,187.47369264801182,1.1666666666666667,P1
-85,0.36742857142857144,283.4311931374068,0.8333333333333334,P2
-48,0.36742857142857144,233.86446799122405,1.2,P1
-6,0.6454736842105263,123.27077094725996,1.0,P1
-82,0.4196923076923077,243.88578422508203,1.0,P2
-1,0.34293333333333337,93.45855526781475,1.0,P1
-84,0.4666666666666666,294.24125617126197,1.0,P1
-32,0.509090909090909,202.3653024917994,inf,P2
-20,0.6,147.0395706474394,inf,P2
-78,0.32586666666666664,260.8161912348771,1.4285714285714286,P1
-15,0.8635,-10.05563517355995,2.0,P2
-21,1.4322087842138767,54.42985824922971,0.0,P2
-79,0.509090909090909,125.68035434696822,1.0,P1
-8,0.6982222222222222,93.29398568751867,0.0,P2
-44,0.509090909090909,74.34676713847716,1.0,P1
-116,0.3055,266.2024685529209,0.75,P2
-167,0.3,304.3732159905326,inf,P1
-76,0.3055,68.78754194591056,inf,P1
-64,0.12352941176470589,508.5602160300309,inf,P1
-196,0.305,92.16236125973774,inf,P1
-120,0.3055,218.45901790428502,1.0,P1
-20,0.6982222222222222,59.06063630626909,inf,P1
-48,0.509090909090909,227.58559931246646,1.0,P1
-48,0.6454736842105263,72.33571145861652,1.3333333333333333,P2
-1,0.734090909090909,-102.21142517525004,inf,P2
-43,1.4322087842138767,-113.4935879454788,inf,P1
-45,0.6454736842105263,90.30260521468176,0.8333333333333334,P2
-70,0.4744347826086957,167.48295855995593,0.0,P1
-183,0.20454545454545456,173.16870745339133,inf,P1
-106,0.11555555555555556,481.3983802189464,inf,P1
-8,1.3622291021671828,14.840554678262606,1.0,P2
-409,1.5492498369210699,-46.216899353342114,0.0,P2
-38,0.6454736842105263,80.57445365678541,1.0,P1
-66,0.6454736842105263,83.09049804684878,1.0,P2
-734,0.4744347826086957,282.76482760474664,inf,P1
-42,0.6982222222222222,106.57253780959672,1.0,P2
-45,0.5500952380952381,38.52317502756432,1.0,P2
-88,0.8635,118.46138290376666,1.0,P2
-14,0.7938095238095237,29.48113921978029,1.0,P2
-16,0.5500952380952381,115.34675289367442,1.0,P2
-40,0.5500952380952381,125.50739439120593,1.0,P2
-85,0.14279999999999998,421.4368731029731,2.5714285714285716,P1
-155,0.12352941176470589,404.5440249397882,0.75,P1
-92,0.2286,250.08323257470283,0.0,P1
-27,0.6,182.2074805193963,1.0,P1
-415,0.7938095238095237,58.11045102498133,1.0,P2
-22,0.9429020429544264,78.26655421790406,1.0,P2
-33,0.6,200.34023382333044,1.0,P1
-359,1.259748050389922,-41.80734068548031,1.0,P1
-136,0.132875,387.1279606201879,0.7777777777777778,P1
-51,0.5500952380952381,140.5358475190733,0.5,P1
-61,0.18333333333333335,352.4304852234691,2.625,P1
-74,0.20454545454545456,356.9567736844567,1.1666666666666667,P1
-66,0.6,99.8986863961552,0.6,P2
-34,0.8635,71.48882871871501,1.0,P2
-9,0.6454736842105263,-11.39414502193813,1.0,P1
-18,0.25933333333333336,213.46324885157424,1.6363636363636365,P1
-10,1.5492498369210699,-49.76329320832383,1.0,P1
-16,0.25933333333333336,205.47406460862499,1.7777777777777777,P2
-43,0.734090909090909,54.24575005708107,1.1428571428571428,P2
-52,1.0605555555555555,25.748984992761052,0.8,P2
-1,0.8635,0.9545239648077768,inf,P1
-567,0.4744347826086957,300.87672050646825,inf,P1
-88,0.32586666666666664,256.09520626069616,0.0,P1
-3,1.5492498369210699,-9.492784971041829,1.0,P2
-105,0.32586666666666664,246.8380134441934,inf,P1
-19,0.8635,132.395849115052,1.0,P2
-28,0.9429020429544264,19.78932635742467,1.5,P1
-19,0.7938095238095237,2.6602157179404458,1.05,P2
-9,0.509090909090909,151.97184958405387,1.25,P1
